India,1_463_865_525,12_929_734
China,1_416_096_094,-3_225_184
United States,347_275_807,1_849_236
Indonesia,285_721_236,2_233_305
Pakistan,255_219_554,3_950_390
Nigeria,237_527_782,4_848_304
Brazil,212_812_405,813_832
Bangladesh,175_686_899,2_124_535
Russia,143_997_393,-823_030
Ethiopia,135_472_051,3_412_284
Mexico,131_946_900,1_085_893
Japan,123_103_479,-649_562
Egypt,118_365_995,1_827_737
Philippines,116_786_962,943_292
DR Congo,112_832_473,3_556_208
Vietnam,101_598_527,610_841
Iran,92_417_681,849_943
Turkey,87_685_426,211_621
Germany,84_075_075,-477_167
Thailand,71_619_863,-48_148
